ADDRESS_ID,HOUSE_NUM,HOUSE_FRAC,ST_PRE_DIR,ST_NAME,ST_TYPE,APT_LOT,POST DIR,CITY,STATE,ZIP
1033,100,,,LYTTON,AVE,Unit 133,NW,WASHINGTON,DC,20009
1034,100,,,LYTTON,AVE,Unit 134,NW,WASHINGTON,DC,20009
1035,100,,,LYTTON,AVE,Unit 135,NW,WASHINGTON,DC,20009
1036,100,,,LYTTON,AVE,Unit 136,NW,WASHINGTON,DC,20009
1037,100,,,LYTTON,AVE,Unit 137,NW,WASHINGTON,DC,20009
1038,100,,,LYTTON,AVE,Unit 138,NW,WASHINGTON,DC,20009
1039,100,,,LYTTON,AVE,Unit 139,NW,WASHINGTON,DC,20009
1040,100,,,LYTTON,AVE,Unit 140,NW,WASHINGTON,DC,20009
1041,100,,,LYTTON,AVE,Unit 141,NW,WASHINGTON,DC,20009
1042,100,,,LYTTON,AVE,Unit 142,NW,WASHINGTON,DC,20009
1043,100,,,LYTTON,AVE,Unit 143,NW,WASHINGTON,DC,20009
1044,100,,,LYTTON,AVE,Unit 144,NW,WASHINGTON,DC,20009
1045,100,,,LYTTON,AVE,Unit 145,NW,WASHINGTON,DC,20009
1046,100,,,LYTTON,AVE,Unit 146,NW,WASHINGTON,DC,20009
1047,100,,,LYTTON,AVE,Unit 147,NW,WASHINGTON,DC,20009
1048,100,,,LYTTON,AVE,Unit 148,NW,WASHINGTON,DC,20009
1049,100,,,LYTTON,AVE,Unit 149,NW,WASHINGTON,DC,20009
1050,100,,,LYTTON,AVE,Unit 150,NW,WASHINGTON,DC,20009
1051,100,,,LYTTON,AVE,Unit 151,NW,WASHINGTON,DC,20009
1052,100,,,LYTTON,AVE,Unit 152,NW,WASHINGTON,DC,20009
1053,100,,,LYTTON,AVE,Unit 153,NW,WASHINGTON,DC,20009
1054,100,,,LYTTON,AVE,Unit 154,NW,WASHINGTON,DC,20009
1055,100,,,LYTTON,AVE,Unit 155,NW,WASHINGTON,DC,20009
1056,100,,,LYTTON,AVE,Unit 156,NW,WASHINGTON,DC,20009
1057,100,,,LYTTON,AVE,Unit 157,NW,WASHINGTON,DC,20009
1058,100,,,LYTTON,AVE,Unit 158,NW,WASHINGTON,DC,20009
1059,100,,,LYTTON,AVE,Unit 159,NW,WASHINGTON,DC,20009
1060,100,,,LYTTON,AVE,Unit 160,NW,WASHINGTON,DC,20009
1061,100,,,LYTTON,AVE,Unit 161,NW,WASHINGTON,DC,20009
1062,100,,,LYTTON,AVE,Unit 162,NW,WASHINGTON,DC,20009
1063,100,,,LYTTON,AVE,Unit 163,NW,WASHINGTON,DC,20009
1064,100,,,LYTTON,AVE,Unit 164,NW,WASHINGTON,DC,20009
1065,100,,,LYTTON,AVE,Unit 165,NW,WASHINGTON,DC,20009
1066,100,,,LYTTON,AVE,Unit 166,NW,WASHINGTON,DC,20009
1067,100,,,LYTTON,AVE,Unit 167,NW,WASHINGTON,DC,20009
1068,100,,,LYTTON,AVE,Unit 168,NW,WASHINGTON,DC,20009
1069,100,,,LYTTON,AVE,Unit 169,NW,WASHINGTON,DC,20009
1070,100,,,LYTTON,AVE,Unit 170,NW,WASHINGTON,DC,20009
1071,100,,,LYTTON,AVE,Unit 171,NW,WASHINGTON,DC,20009
1072,100,,,LYTTON,AVE,Unit 172,NW,WASHINGTON,DC,20009
1073,100,,,LYTTON,AVE,Unit 173,NW,WASHINGTON,DC,20009
1074,100,,,LYTTON,AVE,Unit 174,NW,WASHINGTON,DC,20009
1075,100,,,LYTTON,AVE,Unit 175,NW,WASHINGTON,DC,20009
1076,100,,,LYTTON,AVE,Unit 176,NW,WASHINGTON,DC,20009
1077,100,,,LYTTON,AVE,Unit 177,NW,WASHINGTON,DC,20009
1078,100,,,LYTTON,AVE,Unit 178,NW,WASHINGTON,DC,20009
1079,100,,,LYTTON,AVE,Unit 179,NW,WASHINGTON,DC,20009
1080,100,,,LYTTON,AVE,Unit 180,NW,WASHINGTON,DC,20009
1081,100,,,LYTTON,AVE,Unit 181,NW,WASHINGTON,DC,20009
1082,100,,,LYTTON,AVE,Unit 182,NW,WASHINGTON,DC,20009
1083,100,,,LYTTON,AVE,Unit 183,NW,WASHINGTON,DC,20009
1084,100,,,LYTTON,AVE,Unit 184,NW,WASHINGTON,DC,20009
1085,100,,,LYTTON,AVE,Unit 185,NW,WASHINGTON,DC,20009
1086,100,,,LYTTON,AVE,Unit 186,NW,WASHINGTON,DC,20009
1087,100,,,LYTTON,AVE,Unit 187,NW,WASHINGTON,DC,20009
1088,100,,,LYTTON,AVE,Unit 188,NW,WASHINGTON,DC,20009
1089,100,,,LYTTON,AVE,Unit 189,NW,WASHINGTON,DC,20009
1090,100,,,LYTTON,AVE,Unit 190,NW,WASHINGTON,DC,20009
1091,100,,,LYTTON,AVE,Unit 191,NW,WASHINGTON,DC,20009
1092,100,,,LYTTON,AVE,Unit 192,NW,WASHINGTON,DC,20009
1093,100,,,LYTTON,AVE,Unit 193,NW,WASHINGTON,DC,20009
1094,100,,,LYTTON,AVE,Unit 194,NW,WASHINGTON,DC,20009
1095,100,,,LYTTON,AVE,Unit 195,NW,WASHINGTON,DC,20009
1096,100,,,LYTTON,AVE,Unit 196,NW,WASHINGTON,DC,20009
1097,100,,,LYTTON,AVE,Unit 197,NW,WASHINGTON,DC,20009
1098,100,,,LYTTON,AVE,Unit 198,NW,WASHINGTON,DC,20009
1099,100,,,LYTTON,AVE,Unit 199,NW,WASHINGTON,DC,20009
1100,100,,,LYTTON,AVE,Unit 200,NW,WASHINGTON,DC,20009
1101,100,,,LYTTON,AVE,Unit 201,NW,WASHINGTON,DC,20009
1102,100,,,LYTTON,AVE,Unit 202,NW,WASHINGTON,DC,20009
1103,100,,,LYTTON,AVE,Unit 203,NW,WASHINGTON,DC,20009
1104,100,,,LYTTON,AVE,Unit 204,NW,WASHINGTON,DC,20009
1105,100,,,LYTTON,AVE,Unit 205,NW,WASHINGTON,DC,20009
1106,100,,,LYTTON,AVE,Unit 206,NW,WASHINGTON,DC,20009
1107,100,,,LYTTON,AVE,Unit 207,NW,WASHINGTON,DC,20009
1108,100,,,LYTTON,AVE,Unit 208,NW,WASHINGTON,DC,20009
1109,100,,,LYTTON,AVE,Unit 209,NW,WASHINGTON,DC,20009
1110,100,,,LYTTON,AVE,Unit 210,NW,WASHINGTON,DC,20009
1111,100,,,LYTTON,AVE,Unit 211,NW,WASHINGTON,DC,20009
1112,100,,,LYTTON,AVE,Unit 212,NW,WASHINGTON,DC,20009
1113,100,,,LYTTON,AVE,Unit 213,NW,WASHINGTON,DC,20009
1114,100,,,LYTTON,AVE,Unit 214,NW,WASHINGTON,DC,20009
1115,100,,,LYTTON,AVE,Unit 215,NW,WASHINGTON,DC,20009
1116,100,,,LYTTON,AVE,Unit 216,NW,WASHINGTON,DC,20009
1117,100,,,LYTTON,AVE,Unit 217,NW,WASHINGTON,DC,20009
1118,100,,,LYTTON,AVE,Unit 218,NW,WASHINGTON,DC,20009
1119,100,,,LYTTON,AVE,Unit 219,NW,WASHINGTON,DC,20009
1120,100,,,LYTTON,AVE,Unit 220,NW,WASHINGTON,DC,20009
1121,100,,,LYTTON,AVE,Unit 221,NW,WASHINGTON,DC,20009
1122,100,,,LYTTON,AVE,Unit 222,NW,WASHINGTON,DC,20009
1123,100,,,LYTTON,AVE,Unit 223,NW,WASHINGTON,DC,20009
1124,100,,,LYTTON,AVE,Unit 224,NW,WASHINGTON,DC,20009
1125,100,,,LYTTON,AVE,Unit 225,NW,WASHINGTON,DC,20009
1126,100,,,LYTTON,AVE,Unit 226,NW,WASHINGTON,DC,20009
1127,100,,,LYTTON,AVE,Unit 227,NW,WASHINGTON,DC,20009
1128,100,,,LYTTON,AVE,Unit 228,NW,WASHINGTON,DC,20009
1129,100,,,LYTTON,AVE,Unit 229,NW,WASHINGTON,DC,20009
1130,100,,,LYTTON,AVE,Unit 230,NW,WASHINGTON,DC,20009
1131,100,,,LYTTON,AVE,Unit 231,NW,WASHINGTON,DC,20009
1132,100,,,LYTTON,AVE,Unit 232,NW,WASHINGTON,DC,20009
1133,100,,,LYTTON,AVE,Unit 233,NW,WASHINGTON,DC,20009
1134,100,,,LYTTON,AVE,Unit 234,NW,WASHINGTON,DC,20009
1135,100,,,LYTTON,AVE,Unit 235,NW,WASHINGTON,DC,20009
1136,100,,,LYTTON,AVE,Unit 236,NW,WASHINGTON,DC,20009
1137,100,,,LYTTON,AVE,Unit 237,NW,WASHINGTON,DC,20009
1138,100,,,LYTTON,AVE,Unit 238,NW,WASHINGTON,DC,20009
1139,100,,,LYTTON,AVE,Unit 239,NW,WASHINGTON,DC,20009
1140,100,,,LYTTON,AVE,Unit 240,NW,WASHINGTON,DC,20009
1141,100,,,LYTTON,AVE,Unit 241,NW,WASHINGTON,DC,20009
1142,100,,,LYTTON,AVE,Unit 242,NW,WASHINGTON,DC,20009
1143,100,,,LYTTON,AVE,Unit 243,NW,WASHINGTON,DC,20009
1144,100,,,LYTTON,AVE,Unit 244,NW,WASHINGTON,DC,20009
1145,100,,,LYTTON,AVE,Unit 245,NW,WASHINGTON,DC,20009
1146,100,,,LYTTON,AVE,Unit 246,NW,WASHINGTON,DC,20009
1147,100,,,LYTTON,AVE,Unit 247,NW,WASHINGTON,DC,20009
1148,100,,,LYTTON,AVE,Unit 248,NW,WASHINGTON,DC,20009
1149,100,,,LYTTON,AVE,Unit 249,NW,WASHINGTON,DC,20009
1150,100,,,LYTTON,AVE,Unit 250,NW,WASHINGTON,DC,20009
1151,100,,,LYTTON,AVE,Unit 251,NW,WASHINGTON,DC,20009
1152,100,,,LYTTON,AVE,Unit 252,NW,WASHINGTON,DC,20009
1153,100,,,LYTTON,AVE,Unit 253,NW,WASHINGTON,DC,20009
1154,100,,,LYTTON,AVE,Unit 254,NW,WASHINGTON,DC,20009
1155,100,,,LYTTON,AVE,Unit 255,NW,WASHINGTON,DC,20009
1156,100,,,LYTTON,AVE,Unit 256,NW,WASHINGTON,DC,20009
1157,100,,,LYTTON,AVE,Unit 257,NW,WASHINGTON,DC,20009
1158,100,,,LYTTON,AVE,Unit 258,NW,WASHINGTON,DC,20009
1159,100,,,LYTTON,AVE,Unit 259,NW,WASHINGTON,DC,20009
1160,100,,,LYTTON,AVE,Unit 260,NW,WASHINGTON,DC,20009
1161,100,,,LYTTON,AVE,Unit 261,NW,WASHINGTON,DC,20009
1162,100,,,LYTTON,AVE,Unit 262,NW,WASHINGTON,DC,20009
1163,100,,,LYTTON,AVE,Unit 263,NW,WASHINGTON,DC,20009
1164,100,,,LYTTON,AVE,Unit 264,NW,WASHINGTON,DC,20009
1165,100,,,LYTTON,AVE,Unit 265,NW,WASHINGTON,DC,20009
1166,100,,,LYTTON,AVE,Unit 266,NW,WASHINGTON,DC,20009
1167,100,,,LYTTON,AVE,Unit 267,NW,WASHINGTON,DC,20009
1168,100,,,LYTTON,AVE,Unit 268,NW,WASHINGTON,DC,20009
1169,100,,,LYTTON,AVE,Unit 269,NW,WASHINGTON,DC,20009
1170,100,,,LYTTON,AVE,Unit 270,NW,WASHINGTON,DC,20009
1171,100,,,LYTTON,AVE,Unit 271,NW,WASHINGTON,DC,20009
1172,100,,,LYTTON,AVE,Unit 272,NW,WASHINGTON,DC,20009
1173,100,,,LYTTON,AVE,Unit 273,NW,WASHINGTON,DC,20009
1174,100,,,LYTTON,AVE,Unit 274,NW,WASHINGTON,DC,20009
1175,100,,,LYTTON,AVE,Unit 275,NW,WASHINGTON,DC,20009
1176,100,,,LYTTON,AVE,Unit 276,NW,WASHINGTON,DC,20009
1177,100,,,LYTTON,AVE,Unit 277,NW,WASHINGTON,DC,20009
1178,100,,,LYTTON,AVE,Unit 278,NW,WASHINGTON,DC,20009
1179,100,,,LYTTON,AVE,Unit 279,NW,WASHINGTON,DC,20009
1180,100,,,LYTTON,AVE,Unit 280,NW,WASHINGTON,DC,20009
1181,100,,,LYTTON,AVE,Unit 281,NW,WASHINGTON,DC,20009
1182,100,,,LYTTON,AVE,Unit 282,NW,WASHINGTON,DC,20009
1183,100,,,LYTTON,AVE,Unit 283,NW,WASHINGTON,DC,20009
1184,100,,,LYTTON,AVE,Unit 284,NW,WASHINGTON,DC,20009
1185,100,,,LYTTON,AVE,Unit 285,NW,WASHINGTON,DC,20009
1186,100,,,LYTTON,AVE,Unit 286,NW,WASHINGTON,DC,20009
1187,100,,,LYTTON,AVE,Unit 287,NW,WASHINGTON,DC,20009
1188,100,,,LYTTON,AVE,Unit 288,NW,WASHINGTON,DC,20009
1189,100,,,LYTTON,AVE,Unit 289,NW,WASHINGTON,DC,20009
1190,100,,,LYTTON,AVE,Unit 290,NW,WASHINGTON,DC,20009
1191,100,,,LYTTON,AVE,Unit 291,NW,WASHINGTON,DC,20009
1192,100,,,LYTTON,AVE,Unit 292,NW,WASHINGTON,DC,20009
1193,100,,,LYTTON,AVE,Unit 293,NW,WASHINGTON,DC,20009
1194,100,,,LYTTON,AVE,Unit 294,NW,WASHINGTON,DC,20009
1195,100,,,LYTTON,AVE,Unit 295,NW,WASHINGTON,DC,20009
1196,100,,,LYTTON,AVE,Unit 296,NW,WASHINGTON,DC,20009
1197,100,,,LYTTON,AVE,Unit 297,NW,WASHINGTON,DC,20009
1198,100,,,LYTTON,AVE,Unit 298,NW,WASHINGTON,DC,20009
1199,100,,,LYTTON,AVE,Unit 299,NW,WASHINGTON,DC,20009
1200,100,,,LYTTON,AVE,Unit 300,NW,WASHINGTON,DC,20009
1201,100,,,LYTTON,AVE,Unit 301,NW,WASHINGTON,DC,20009
1202,100,,,LYTTON,AVE,Unit 302,NW,WASHINGTON,DC,20009
1203,100,,,LYTTON,AVE,Unit 303,NW,WASHINGTON,DC,20009
1204,100,,,LYTTON,AVE,Unit 304,NW,WASHINGTON,DC,20009
1205,100,,,LYTTON,AVE,Unit 305,NW,WASHINGTON,DC,20009
1206,100,,,LYTTON,AVE,Unit 306,NW,WASHINGTON,DC,20009
1207,100,,,LYTTON,AVE,Unit 307,NW,WASHINGTON,DC,20009
1208,100,,,LYTTON,AVE,Unit 308,NW,WASHINGTON,DC,20009
1209,100,,,LYTTON,AVE,Unit 309,NW,WASHINGTON,DC,20009
1210,100,,,LYTTON,AVE,Unit 310,NW,WASHINGTON,DC,20009
1211,100,,,LYTTON,AVE,Unit 311,NW,WASHINGTON,DC,20009
1212,100,,,LYTTON,AVE,Unit 312,NW,WASHINGTON,DC,20009
1213,100,,,LYTTON,AVE,Unit 313,NW,WASHINGTON,DC,20009
1214,100,,,LYTTON,AVE,Unit 314,NW,WASHINGTON,DC,20009
1215,100,,,LYTTON,AVE,Unit 315,NW,WASHINGTON,DC,20009
1216,100,,,LYTTON,AVE,Unit 316,NW,WASHINGTON,DC,20009
1217,100,,,LYTTON,AVE,Unit 317,NW,WASHINGTON,DC,20009
1218,100,,,LYTTON,AVE,Unit 318,NW,WASHINGTON,DC,20009
1219,100,,,LYTTON,AVE,Unit 319,NW,WASHINGTON,DC,20009
1220,100,,,LYTTON,AVE,Unit 320,NW,WASHINGTON,DC,20009
1221,100,,,LYTTON,AVE,Unit 321,NW,WASHINGTON,DC,20009
1222,100,,,LYTTON,AVE,Unit 322,NW,WASHINGTON,DC,20009
1223,100,,,LYTTON,AVE,Unit 323,NW,WASHINGTON,DC,20009
1224,100,,,LYTTON,AVE,Unit 324,NW,WASHINGTON,DC,20009
1225,100,,,LYTTON,AVE,Unit 325,NW,WASHINGTON,DC,20009
1226,100,,,LYTTON,AVE,Unit 326,NW,WASHINGTON,DC,20009
1227,100,,,LYTTON,AVE,Unit 327,NW,WASHINGTON,DC,20009
1228,100,,,LYTTON,AVE,Unit 328,NW,WASHINGTON,DC,20009
1229,100,,,LYTTON,AVE,Unit 329,NW,WASHINGTON,DC,20009
1230,100,,,LYTTON,AVE,Unit 330,NW,WASHINGTON,DC,20009
1231,100,,,LYTTON,AVE,Unit 331,NW,WASHINGTON,DC,20009
1232,100,,,LYTTON,AVE,Unit 332,NW,WASHINGTON,DC,20009
1233,100,,,LYTTON,AVE,Unit 333,NW,WASHINGTON,DC,20009
1234,100,,,LYTTON,AVE,Unit 334,NW,WASHINGTON,DC,20009
1235,100,,,LYTTON,AVE,Unit 335,NW,WASHINGTON,DC,20009
1236,100,,,LYTTON,AVE,Unit 336,NW,WASHINGTON,DC,20009
1237,100,,,LYTTON,AVE,Unit 337,NW,WASHINGTON,DC,20009
1238,100,,,LYTTON,AVE,Unit 338,NW,WASHINGTON,DC,20009
1239,100,,,LYTTON,AVE,Unit 339,NW,WASHINGTON,DC,20009
1240,100,,,LYTTON,AVE,Unit 340,NW,WASHINGTON,DC,20009
1241,100,,,LYTTON,AVE,Unit 341,NW,WASHINGTON,DC,20009
1242,100,,,LYTTON,AVE,Unit 342,NW,WASHINGTON,DC,20009
1243,100,,,LYTTON,AVE,Unit 343,NW,WASHINGTON,DC,20009
1244,100,,,LYTTON,AVE,Unit 344,NW,WASHINGTON,DC,20009
1245,100,,,LYTTON,AVE,Unit 345,NW,WASHINGTON,DC,20009
1246,100,,,LYTTON,AVE,Unit 346,NW,WASHINGTON,DC,20009
1247,100,,,LYTTON,AVE,Unit 347,NW,WASHINGTON,DC,20009
1248,100,,,LYTTON,AVE,Unit 348,NW,WASHINGTON,DC,20009
1249,100,,,LYTTON,AVE,Unit 349,NW,WASHINGTON,DC,20009
1250,100,,,LYTTON,AVE,Unit 350,NW,WASHINGTON,DC,20009
1251,100,,,LYTTON,AVE,Unit 351,NW,WASHINGTON,DC,20009
1252,100,,,LYTTON,AVE,Unit 352,NW,WASHINGTON,DC,20009
1253,100,,,LYTTON,AVE,Unit 353,NW,WASHINGTON,DC,20009
1254,100,,,LYTTON,AVE,Unit 354,NW,WASHINGTON,DC,20009
1255,100,,,LYTTON,AVE,Unit 355,NW,WASHINGTON,DC,20009
1256,100,,,LYTTON,AVE,Unit 356,NW,WASHINGTON,DC,20009
1257,100,,,LYTTON,AVE,Unit 357,NW,WASHINGTON,DC,20009
1258,100,,,LYTTON,AVE,Unit 358,NW,WASHINGTON,DC,20009
1259,100,,,LYTTON,AVE,Unit 359,NW,WASHINGTON,DC,20009
1260,100,,,LYTTON,AVE,Unit 360,NW,WASHINGTON,DC,20009
1261,100,,,LYTTON,AVE,Unit 361,NW,WASHINGTON,DC,20009
1262,100,,,LYTTON,AVE,Unit 362,NW,WASHINGTON,DC,20009
1263,100,,,LYTTON,AVE,Unit 363,NW,WASHINGTON,DC,20009
1264,100,,,LYTTON,AVE,Unit 364,NW,WASHINGTON,DC,20009
1265,100,,,LYTTON,AVE,Unit 365,NW,WASHINGTON,DC,20009
1266,100,,,LYTTON,AVE,Unit 366,NW,WASHINGTON,DC,20009
1267,100,,,LYTTON,AVE,Unit 367,NW,WASHINGTON,DC,20009
1268,100,,,LYTTON,AVE,Unit 368,NW,WASHINGTON,DC,20009
1269,100,,,LYTTON,AVE,Unit 369,NW,WASHINGTON,DC,20009
1270,100,,,LYTTON,AVE,Unit 370,NW,WASHINGTON,DC,20009
1271,100,,,LYTTON,AVE,Unit 371,NW,WASHINGTON,DC,20009
1272,100,,,LYTTON,AVE,Unit 372,NW,WASHINGTON,DC,20009
1273,100,,,LYTTON,AVE,Unit 373,NW,WASHINGTON,DC,20009
1274,100,,,LYTTON,AVE,Unit 374,NW,WASHINGTON,DC,20009
1275,100,,,LYTTON,AVE,Unit 375,NW,WASHINGTON,DC,20009
1276,100,,,LYTTON,AVE,Unit 376,NW,WASHINGTON,DC,20009
1277,100,,,LYTTON,AVE,Unit 377,NW,WASHINGTON,DC,20009
1278,100,,,LYTTON,AVE,Unit 378,NW,WASHINGTON,DC,20009
1279,100,,,LYTTON,AVE,Unit 379,NW,WASHINGTON,DC,20009
1280,100,,,LYTTON,AVE,Unit 380,NW,WASHINGTON,DC,20009
1281,100,,,LYTTON,AVE,Unit 381,NW,WASHINGTON,DC,20009
1282,100,,,LYTTON,AVE,Unit 382,NW,WASHINGTON,DC,20009
1283,100,,,LYTTON,AVE,Unit 383,NW,WASHINGTON,DC,20009
1284,100,,,LYTTON,AVE,Unit 384,NW,WASHINGTON,DC,20009
1285,100,,,LYTTON,AVE,Unit 385,NW,WASHINGTON,DC,20009
1286,100,,,LYTTON,AVE,Unit 386,NW,WASHINGTON,DC,20009
1287,100,,,LYTTON,AVE,Unit 387,NW,WASHINGTON,DC,20009
1288,100,,,LYTTON,AVE,Unit 388,NW,WASHINGTON,DC,20009
1289,100,,,LYTTON,AVE,Unit 389,NW,WASHINGTON,DC,20009
1290,100,,,LYTTON,AVE,Unit 390,NW,WASHINGTON,DC,20009
1291,100,,,LYTTON,AVE,Unit 391,NW,WASHINGTON,DC,20009
1292,100,,,LYTTON,AVE,Unit 392,NW,WASHINGTON,DC,20009
1293,100,,,LYTTON,AVE,Unit 393,NW,WASHINGTON,DC,20009
1294,100,,,LYTTON,AVE,Unit 394,NW,WASHINGTON,DC,20009
1295,100,,,LYTTON,AVE,Unit 395,NW,WASHINGTON,DC,20009
1296,100,,,LYTTON,AVE,Unit 396,NW,WASHINGTON,DC,20009
1297,100,,,LYTTON,AVE,Unit 397,NW,WASHINGTON,DC,20009
1298,100,,,LYTTON,AVE,Unit 398,NW,WASHINGTON,DC,20009
1299,100,,,LYTTON,AVE,Unit 399,NW,WASHINGTON,DC,20009
1300,100,,,LYTTON,AVE,Unit 400,NW,WASHINGTON,DC,20009
1301,100,,,LYTTON,AVE,Unit 401,NW,WASHINGTON,DC,20009
1302,100,,,LYTTON,AVE,Unit 402,NW,WASHINGTON,DC,20009
1303,100,,,LYTTON,AVE,Unit 403,NW,WASHINGTON,DC,20009
1304,100,,,LYTTON,AVE,Unit 404,NW,WASHINGTON,DC,20009
1305,100,,,LYTTON,AVE,Unit 405,NW,WASHINGTON,DC,20009
1306,100,,,LYTTON,AVE,Unit 406,NW,WASHINGTON,DC,20009
1307,100,,,LYTTON,AVE,Unit 407,NW,WASHINGTON,DC,20009
1308,100,,,LYTTON,AVE,Unit 408,NW,WASHINGTON,DC,20009
1309,100,,,LYTTON,AVE,Unit 409,NW,WASHINGTON,DC,20009
1310,100,,,LYTTON,AVE,Unit 410,NW,WASHINGTON,DC,20009
1311,100,,,LYTTON,AVE,Unit 411,NW,WASHINGTON,DC,20009
1312,100,,,LYTTON,AVE,Unit 412,NW,WASHINGTON,DC,20009
1313,100,,,LYTTON,AVE,Unit 413,NW,WASHINGTON,DC,20009
1314,100,,,LYTTON,AVE,Unit 414,NW,WASHINGTON,DC,20009
1315,100,,,LYTTON,AVE,Unit 415,NW,WASHINGTON,DC,20009
1316,100,,,LYTTON,AVE,Unit 416,NW,WASHINGTON,DC,20009
1317,100,,,LYTTON,AVE,Unit 417,NW,WASHINGTON,DC,20009
1318,100,,,LYTTON,AVE,Unit 418,NW,WASHINGTON,DC,20009
1319,100,,,LYTTON,AVE,Unit 419,NW,WASHINGTON,DC,20009
1320,100,,,LYTTON,AVE,Unit 420,NW,WASHINGTON,DC,20009
1321,100,,,LYTTON,AVE,Unit 421,NW,WASHINGTON,DC,20009
1322,100,,,LYTTON,AVE,Unit 422,NW,WASHINGTON,DC,20009
1323,100,,,LYTTON,AVE,Unit 423,NW,WASHINGTON,DC,20009
1324,100,,,LYTTON,AVE,Unit 424,NW,WASHINGTON,DC,20009
1325,100,,,LYTTON,AVE,Unit 425,NW,WASHINGTON,DC,20009
1326,100,,,LYTTON,AVE,Unit 426,NW,WASHINGTON,DC,20009
1327,100,,,LYTTON,AVE,Unit 427,NW,WASHINGTON,DC,20009
1328,100,,,LYTTON,AVE,Unit 428,NW,WASHINGTON,DC,20009
1329,100,,,LYTTON,AVE,Unit 429,NW,WASHINGTON,DC,20009
1330,100,,,LYTTON,AVE,Unit 430,NW,WASHINGTON,DC,20009
1331,100,,,LYTTON,AVE,Unit 431,NW,WASHINGTON,DC,20009
1332,100,,,LYTTON,AVE,Unit 432,NW,WASHINGTON,DC,20009
1333,100,,,LYTTON,AVE,Unit 433,NW,WASHINGTON,DC,20009
1334,100,,,LYTTON,AVE,Unit 434,NW,WASHINGTON,DC,20009
1335,100,,,LYTTON,AVE,Unit 435,NW,WASHINGTON,DC,20009
1336,100,,,LYTTON,AVE,Unit 436,NW,WASHINGTON,DC,20009
1337,100,,,LYTTON,AVE,Unit 437,NW,WASHINGTON,DC,20009
1338,100,,,LYTTON,AVE,Unit 438,NW,WASHINGTON,DC,20009
1339,100,,,LYTTON,AVE,Unit 439,NW,WASHINGTON,DC,20009
1340,100,,,LYTTON,AVE,Unit 440,NW,WASHINGTON,DC,20009
1341,100,,,LYTTON,AVE,Unit 441,NW,WASHINGTON,DC,20009
1342,100,,,LYTTON,AVE,Unit 442,NW,WASHINGTON,DC,20009
1343,100,,,LYTTON,AVE,Unit 443,NW,WASHINGTON,DC,20009
1344,100,,,LYTTON,AVE,Unit 444,NW,WASHINGTON,DC,20009
